Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Iridium 46,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",8/21/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-043C,24905
Iridium 47,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",12/20/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082C,25106
Iridium 49,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",12/20/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-082E,25108
Iridium 5,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",5/5/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020D,24795
Iridium 50,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010D,25172
Iridium 51,China,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/25/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018A,25262
Iridium 52,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010A,25169
Iridium 53,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010E,25173
Iridium 54,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,,556,"1,400 (EOL)",2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010C,25171
Iridium 55,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019A,25272
Iridium 56,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",2/18/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-010B,25170
Iridium 57,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019B,25273
Iridium 58,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019C,25274
Iridium 59,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019D,25275
Iridium 6,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",5/6/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020C,24794
Iridium 60,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/30/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-019E,25276
Iridium 61,China,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",3/25/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-018B,25263
Iridium 62,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021A,25285
Iridium 64,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021C,25287
Iridium 65,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021D,25288
Iridium 66,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021E,25289
Iridium 67,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021F,25290
Iridium 68,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",4/7/1998,8,Motorola Satellite Communications Group,USA,Baikonur Cosmodrome,Proton K,1998-021G,25291
Iridium 7,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",5/5/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020B,24793
Iridium 70,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.3,100.4,689,556,"1,400 (EOL)",5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032A,25342
Iridium 72,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032B,25343
Iridium 74,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,747,751,0.000281,86.5,99.8,689,556,"1,400 (EOL)",5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032D,25345
Iridium 75,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032E,25346
Iridium 76,China,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",8/19/1998,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1998-048B,25432
Iridium 77,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",9/8/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051E,25471
Iridium 8,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",5/5/1997,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1997-020A,24792
Iridium 80,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",9/8/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051C,25469
Iridium 81,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",9/8/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051B,25468
Iridium 82,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",9/8/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-051A,25467
Iridium 83,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",11/6/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066E,25531
Iridium 84,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",11/6/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066D,25530
Iridium 86,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,780,0.00028,86.4,100.4,689,556,"1,400 (EOL)",11/6/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-066B,25528
Iridium 90,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,777,778,7E-05,86.4,100.4,689,556,"1,400 (EOL)",2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005B,27373
Iridium 91,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,744,753,0.000632,86.4,99.8,689,556,"1,400 (EOL)",2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372
Iridium 94,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,773,782,0.00063,86.4,100.4,689,556,"1,400 (EOL)",2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005C,27374
Iridium 95,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,776,779,0.00021,86.4,100.4,689,556,"1,400 (EOL)",2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005D,27375
Iridium 96,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,745,754,0.000632,87.2,99.8,689,556,"1,400 (EOL)",2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376
Iridium 97,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,777,778,7E-05,86.4,100.4,689,556,"1,400 (EOL)",6/20/2002,8,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031A,27450
Iridium 98,USA,Iridium Satellite LLC,USA,Government/Commercial,Communications,,LEO,Polar,0,748,750,0.00014,86.4,99.8,689,556,"1,400 (EOL)",6/20/2002,8,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451
IRIS,USA,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,LEO,Sun-Synchronous,0,620,664,0.00314,97.9,97.5,236,,,6/28/2013,2,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197
IRNSS-1A,India,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,0.0019,27.1,1436,1425,614,1660,7/1/2013,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV,2013-034A,39199
IRNSS-1B,India,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,0.00219,30.97,1436.14,1432,615,1660,4/4/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV,2014-017A,39635
IRNSS-1C,NR,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,0.00215,4.96,1435.8,1425,598,1660,10/15/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2014-061A,40269
IRNSS-1D,NR,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,0.0016,30.04,1435.06,1425,598,1600,3/30/2015,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-C27,2015-018A,40547
IRNSS-1E,NR,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,0.00212,28.09,1436.01,1425,598,1600,1/20/2016,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2016-003A,41241
IRNSS-1F,NR,Indian Space Research Organization (IRSO),India,Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,0.00206,5.09,1436.13,1425,598,1600,3/10/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2016-015A,41384
IRNSS-1G,NR,Indian Space Research Organization (IRSO),India,Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,0.000273,5.06,1436.05,1425,598,1600,4/28/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Center,PSLV,2016-027A,41469
IRS-P6,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417,98.8,101.3,1360,,1200,10/17/2003,5,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV C5,2003-046A,28051
ITU-pSAT1,NR,ITU Space Systems Design & Test Laboratory,Turkey,Civil,Technology Development,,LEO,Sun-Synchronous,0,710,721,0.000776,98.4,99.1,1,,,9/23/2009,1 yr.,ITU Space Systems Design & Test Laboratory,Turkey,Satish Dhawan Space Center,PSLV,2009-051E,35935
Jason 2,France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1332,1344,0.000778,66,112.4,553,510,500,6/20/2008,5,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105
Jason 3,NR,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0,1301,1324,0.0015,66,111.8,553,510,500,1/17/2016,5,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240
JCSat 10,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,127.51,35772,35801,0.000344,1.19,1436.1,4400,1858,,8/11/2006,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2006-033A,29272
JCSat 110,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,110.1,35784,35789,5.93E-05,0.01,1436.11,3531,1669,"7,200 (EOL)",10/7/2000,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,2000-060A,26559
JCSat 13,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,124,35780,35791,0.00013,0.05,1436.03,4500,,,5/15/2012,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2012-023A,38331
JCSat 14,NR,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,154,35861,35924,0.000745,0.02,1441.5,4500,,,5/6/2016,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2016-028A,41471
JCSat 1B,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,128.03,35778,35794,0.00019,0.01,1436.09,2982,1308,5200,12/2/1997,12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1997-075A,25067
JCSat 2A,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,154,35788,35794,7.12E-05,0.01,1436.1,2500,1460,3500,3/29/2002,11,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399
JCSat 4A,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,123.85,33782,37768,0.0473,0.07,1435.52,2900,1230,5200,2/15/1999,14.5,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630
JCSat 9,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,132.04,35776,35797,0.000249,0.01,1436.1,4400,,,4/12/2006,12,Lockheed Martin Commercial Space Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2006-010A,29045
JCSat RA,Japan,Sky Perfect JSAT Corporation,Japan,Commercial,Communications,,GEO,,142.49,35780,35794,0.000166,0.04,1436.12,4000,,,8/21/2009,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755
Jilin-1,NR,Changchun Institute of Optics,China,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,638,662,0.00171,98.05,97.73,400,,,10/7/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961
Jugnu,India,Indian Institute of Technology Kanpur,India,Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,839,866,0.00187,20,102,3,,3,10/12/2011,1 yr.,Indian Institute of Technology Kanpur,India,Satish Dhawan Space Center,PSLV,2011-058B,37839
Kaituo-1A,NR,China Aerospace Science and Technology Corporation,China,Government,Technology Development,,LEO,Sun-Synchronous,0,518,536,0.0013,97.46,95.18,130,,,9/19/2015,,China Aerospace Science and Technology Corporation,China,Taiyuan Launch Center,Long March 6,2015-049F,40904
Kalpana-1,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Meteorology,GEO,,74.07,35783,35789,7.12E-05,0.04,1436.08,1060,500,550,9/12/2002,5-7,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525
KazEOSat-1,NR,Kazcosmos,Kazakhstan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,751,754,0.000211,98.53,99.87,830,,1200,4/30/2014,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731
KazEOSat-2,NR,Kazcosmos,Kazakhstan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,612,636,0.00172,97.99,97.19,185,,55,6/19/2014,7,Surrey Satellite Technology Ltd. (SSTL),UK,Dombarovsky Air Base,Dnepr,2014-033A,40010
KazSat-2,Kazakhstan,JSC KazSat,Kazakhstan,Commercial,Communications,,GEO,,86.5,35786,35788,2.37E-05,0.03,1436.13,1300,,,7/15/2011,12,Khrunichev,Russia,Baikonur Cosmodrome,Proton-M,2011-035B,37749
KazSat-3,NR,JSC KazSat,Kazakhstan,Commercial,Communications,,GEO,,58.5,35784,35789,5.93E-05,0.12,1436.08,,,5500,4/28/2014,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton-M,2014-023B,39728
Kent Ridge 1,NR,National University of Singapore,Singapore,Civil,Earth Observation,Optical Imaging,LEO,Equatorial,0,534,551,0.00123,14.98,95.49,78,,,12/16/2015,,National University of Singapore,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077B,41167
USA 186,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,264,1050,0.0559,97.9,97,18000,10000,,10/19/2005,5,Lockheed Martin,USA,Vandenberg AFB,Titan IV,2005-042A,28888
USA 224,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,200,1000,0.0574,97.8,97,18000,10000,,1/20/2011,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2011-002A,37348
USA 245,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Optical Imaging,LEO,Elliptical,0,257,997,0.0529,97.8,97.25,18000,10000,,8/28/2013,5,Lockheed Martin,USA,Vandenberg AFB,Delta 4 Heavy,2013-043A,39232
ETS-8,Japan,National Institute of Information and Communications Technology (NICT),Japan,Government,Technology Development,,GEO,,146.06,35778,35792,0.000166,0.03,1436.04,5800,,,12/18/2006,,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2006-059A,29656
Kizuna,Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,,GEO,,143.05,35776,35796,0.000237,0.02,1436.1,4850,2450,,2/23/2008,,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H2A,2008-007A,32500
KJSY-1,NR,Tsinghua University,China,Civil,Technology Development,,LEO,Sun-Synchronous,0,520,540,0.00145,97.46,95.23,1,,,9/19/2015,,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049R,40914
KKS-1,Japan,Tokyo Metropolitan College of Industrial Technology,Japan,Civil,Technology Development,,LEO,Sun-Synchronous,0,651,667,0.00114,98.03,97.92,3,,,1/23/2009,1 yr.,Tokyo Metropolitan College of Industrial Technology,Japan,Tanegashima Space Center,H-2A,2009-002H,33499
Kompsat-2,South Korea,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,676,698,0.00156,98.2,98.5,800,,955,7/28/2006,3,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Plesetsk Cosmodrome,Rokot,2006-031A,29268
Kompsat-3,South Korea,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,679,696,0.0012,98.2,98.5,980,,1300,5/17/2012,4,Korea Aerospace Research Institute (KARI)/ EADS Astrium,South Korea/France/UK/Germany,Tanegashima Space Center,H2A,2012-025B,38338
Kompsat-3A,South Korea,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,522,540,0.0013,97.5,95.25,980,,1300,3/25/2015,4,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2015-014A,40536
Kompsat-5,South Korea,Korea Aerospace Research Institute (KARI),South Korea,Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,535,552,0.00123,97.6,95.5,1400,,1400,8/22/2013,5,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2013-042A,39227
Cosmos 2487,Russia,Ministry of Defense,Russia,Military,Earth Observation,Radar Imaging,LEO,Polar,0,497,501,0.000291,74.73,94.6,1150,,,6/27/2013,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2013-032A,39194
Koreasat 5,South Korea,KT Corporation/Korean Agency for Defense Development (ADD),South Korea,Military/Commercial,Communications,,GEO,,113.08,35780,35792,0.000142,0.02,1436.1,4450,,,8/22/2006,,Alcatel Alenia Space,France,Sea Launch (Odyssey),Zenit 3SL,2006-034A,29349
Koreasat 6,South Korea,KT Corporation,South Korea,Commercial,Communications,,GEO,,116,35780,35794,0.000166,0.05,1436.12,2850,1150,,12/29/2010,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2010-070B,37265
Kuaizhou-2,NR,National Academy of Sciences,China,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,295,328,0.00247,96.54,90.76,,,,11/21/2014,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Kuaizhou,2014-073A,40311
Kukai,NR,Kanagawa University,Japan,Civil,Technology Development,,LEO,Sun-Synchronous,0,647,667,0.00142,98.03,97.88,7,,,1/23/2009,,Kanagawa University,Japan,Tanegashima Space Center,H-2A,2009-002G,33498
USA 133,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,671,675,0.000284,57,98.2,14500,,,10/24/1997,5,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017
USA 152,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,574,676,0.00729,68,97.21,14500,,,8/17/2000,9,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473
USA 182,USA,National Reconnaissance Office (NRO),USA,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,713,716,0.000212,57.01,99.08,14500,,,4/30/2005,9,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646
Landsat 7,USA,NASA/US Geological Survey,USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,2744,2200,1500,4/15/1999,15,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682
Landsat 8,USA,NASA/US Geological Survey,USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,700,705,0.000353,98.2,98.8,2780,1512,4300,2/11/2013,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084
LaoSat-1,NR,Laos National Authority for Science and Technology,Laos,Government,Communications,,GEO,,128.5,35788,35800,0.000142,0.1,1436.1,3800,,,11/20/2015,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-067A,41034
LAPAN A2,NR,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,Earth Science,LEO,Equatorial,0,631,650,0.00136,6,97.53,68,,32,9/24/2015,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV C-30,2015-052B,40931
LAPAN A3,NR,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,517,0.00116,97.5,94.8,115,,37,6/22/2016,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV XL,2016-040E,41603
LAPAN-Tubsat,NR,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,617,637,0.00143,97.7,97.2,60,,14,1/10/2007,,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,2007-001A,29709
LatinSat A,NR,Aprize Satellites Argentina,Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0,610,668,0.00414,64.6,97.5,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612
